,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,92.05,100.06,100.29,98.34,101.42,85.38,74.68,74.49,82.06,87.95,85.64,84.35,76.27,71.07,74.59,72.88,79.73,79.29,72.55,72.85,69.71,66.83,70.11,78.47,84.46,87.14,86.32,91.32,89.81,87.33,100.00,107.08,109.79,105.17
Brazil,74.11,86.08,93.31,71.59,63.84,61.73,58.92,61.15,60.52,80.96,100.28,84.35,74.22,78.14,81.40,89.01,93.93,96.35,93.60,62.22,67.03,56.82,58.65,55.40,58.15,70.98,79.21,85.06,88.83,88.16,100.00,103.50,93.11,87.86
Canada,91.25,95.78,102.26,106.75,104.80,101.06,91.43,91.58,96.55,103.34,102.13,105.05,96.41,90.14,82.36,79.66,80.53,79.74,75.07,74.17,74.51,72.31,71.72,79.70,84.04,89.46,94.52,97.68,95.31,90.74,100.00,102.01,101.71,98.39
"China, P.R.: Mainland",266.78,239.40,228.55,224.68,200.27,169.91,123.71,107.15,116.83,135.19,99.06,87.03,83.48,88.86,69.63,77.57,85.25,91.78,96.66,91.50,91.45,95.40,93.20,87.08,84.73,84.25,85.57,88.93,97.11,100.41,100.00,102.70,108.43,115.30
France,115.85,110.53,105.53,101.63,99.94,102.46,106.10,107.38,105.00,102.74,106.32,102.50,104.07,105.26,105.00,107.78,107.35,102.05,102.18,99.24,93.81,93.48,95.00,100.06,101.84,101.26,100.89,101.59,102.95,103.14,100.00,99.43,96.41,97.69
Germany,112.80,102.97,104.84,105.50,100.85,98.14,103.89,107.30,104.64,102.11,105.00,103.29,108.28,112.58,113.38,118.43,114.09,107.48,107.51,104.13,96.92,96.91,97.91,103.00,104.61,102.77,102.02,103.80,104.35,105.10,100.00,99.15,95.66,98.14
Italy,94.80,92.55,93.65,98.79,99.64,99.26,106.26,109.36,108.08,110.51,115.85,116.02,114.16,96.11,93.71,87.33,97.01,96.48,96.81,95.58,90.70,91.96,94.20,99.99,101.81,100.60,100.24,101.08,102.60,103.81,100.00,100.02,98.22,99.90
Japan,72.62,77.63,70.39,76.18,79.55,81.54,104.54,110.10,116.35,106.53,95.20,101.85,104.76,122.75,130.46,132.58,111.38,104.79,104.77,115.92,122.80,109.31,101.82,102.72,103.77,97.37,88.21,81.03,87.74,98.85,100.00,101.72,100.55,80.33
Mexico,117.46,134.77,96.47,84.80,99.72,102.28,71.60,65.95,81.75,87.69,89.67,98.33,106.36,114.41,109.72,73.72,82.79,95.33,96.06,104.32,112.81,120.09,120.12,107.54,103.37,107.85,108.08,106.91,105.16,92.07,100.00,100.40,97.54,103.52
Philippines,122.06,126.27,131.10,110.27,109.21,119.49,93.61,86.34,87.91,94.33,89.62,89.78,99.31,97.80,106.04,107.58,114.85,113.29,94.45,99.35,90.54,85.44,85.76,78.43,75.07,79.05,87.26,94.49,97.34,95.65,100.00,100.68,105.55,109.77
Russian Federation,,,,,,,,,,,,,,,52.76,59.70,73.36,78.32,69.02,47.17,52.02,62.34,65.13,67.29,72.52,79.42,87.28,92.06,98.35,91.73,100.00,104.92,106.48,108.41
South Africa,153.69,161.70,153.20,168.62,148.73,112.96,104.27,117.69,111.15,111.60,114.73,119.42,123.38,121.09,115.91,112.67,103.72,109.52,100.57,95.15,92.05,81.30,69.46,90.23,97.57,98.89,94.95,89.27,79.43,86.59,100.00,97.92,92.59,82.84
United Kingdom,115.22,118.75,114.48,105.15,100.56,102.48,95.36,95.23,102.82,103.21,106.72,108.74,104.89,93.94,94.12,90.74,92.45,108.10,115.05,114.74,117.86,115.35,116.32,113.24,119.82,119.53,121.51,125.73,110.15,96.55,100.00,101.49,106.81,105.78
United States,105.06,115.75,129.52,135.64,143.90,148.98,125.15,112.65,106.12,109.57,104.49,103.11,100.65,103.67,103.10,99.63,102.61,107.63,115.28,114.23,117.90,124.57,124.27,116.34,110.89,109.37,108.75,103.63,99.55,104.04,100.00,95.10,97.99,99.12
